VESSEL ID (DMY),Voyage No.,Voyage Yr,BERTH LOCATION,Date Berth,TOTAL BONGKARAN_EMPTY_20 DC,TOTAL BONGKARAN_EMPTY_40 HC,TOTAL BONGKARAN_FULL_20 DC,TOTAL BONGKARAN_FULL_40 HC,PENGAJUAN KE PLANNER_EMPTY_20 DC,PENGAJUAN KE PLANNER_EMPTY_40 HC,PENGAJUAN KE PLANNER_FULL_20 DC,PENGAJUAN KE PLANNER_FULL_40 HC,ACC PENGAJUAN_EMPTY_20 DC,ACC PENGAJUAN_EMPTY_40 HC,ACC PENGAJUAN_FULL_20 DC,ACC PENGAJUAN_FULL_40 HC,TOTAL_BOX_20 DC,TOTAL_BOX_40 HC,TOTAL_TEUS_PENGAJUAN,REALISASI ALL DEPO_ALL DEPO_MXD_20 DC,REALISASI ALL DEPO_ALL DEPO_MXD_40 HC,REALISASI ALL DEPO_ALL DEPO_FXD_20 DC,REALISASI ALL DEPO_ALL DEPO_FXD_40 HC,SHIPSIDE_YES_MXD_20 DC,SHIPSIDE_YES_MXD_40 HC,SHIPSIDE_YES_FXD_20 DC,SHIPSIDE_YES_FXD_40 HC,SHIPSIDE_NO_MXD_20 DC,SHIPSIDE_NO_MXD_40 HC,SHIPSIDE_NO_FXD_20 DC,SHIPSIDE_NO_FXD_40 HC,TOTAL_BOX_20 DC.1,TOTAL_BOX_40 HC.1,TOTAL_TEUS.1,TURUN CY_BOX_20 DC,TURUN CY_BOX_40 HC,TURUN CY_TEUS,"PERSENTASE/VESSEL
(Total Realisasi TL, SS dibagi Total Pengajuan)",OBSTACLES
V17,18,2023,ADP,01/03/2024 8:00,120,108,0,0,54,0,0,0,54,0,0,0,54,0,54,54,0,0,0,0,0,0,0,0,0,0,0,54,0,54,0,0,0,1,SUKSES
V01,41,2023,ADP,01/04/2024 6:00,50,15,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TDK DIAJUKAN,"permohonan TL tidak dapat kami akomodir dikarenakan YOR lapangan untuk saat ini masih 38.75% dan bisa di stack di lapangan info team operasional,"
V07,31,2023,ADP,01/04/2024 12:00,111,66,0,0,34,0,0,0,34,0,0,0,34,0,34,34,0,0,0,0,0,0,0,0,0,0,0,34,0,34,0,0,0,1,SUKSES
V35,1,2024,ADP,01/03/2024 0:00,200,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TDK DIAJUKAN,Kegiatatan terbagi 2 karna sandar bersamaan armada kejar closingan  serta untuk menyesuaikan space
V04,33,2023,DSN,01/04/2024 5:00,122,91,49,2,122,91,49,2,122,91,49,2,171,93,357,37,75,21,0,0,0,0,0,3,1,0,0,61,76,213,110,17,144,0.596638655,KEJAR CLOSING OB FTL AN DAN TRANSIT EX KAPAL V26 DARI DSN TO ADP DAN DARI 217 TO ADP
V09,30,2023,DSN,01/04/2024 6:00,89,29,36,1,89,29,36,1,89,29,36,1,125,30,185,49,9,2,1,0,0,0,0,0,0,0,0,51,10,71,74,20,114,0.383783784,"SANDAR BERSAMAAN V04 & V09, KEGIATAN TERBAGI TL 2 KAPAL DAN KEJAR CLOSING OB FTL AN DAN TRANSIT EX KAPAL V26 DARI DSN TO ADP DAN DARI 217 TO ADP"
V26,18,2023,ADP,01/05/2024 6:00,754,153,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TDK DIAJUKAN,"permohonan TL tidak dapat kami akomodir dikarenakan YOR saat ini 37.43% dan masih bisa stack di lapangan info team operasional,"
V24,20,2023,ADP,01/05/2024 10:00,150,25,0,0,50,0,0,0,30,0,0,0,30,0,30,23,0,0,0,0,0,0,0,0,0,0,0,23,0,23,7,0,7,0.766666667,"KEGIATAN TL 2 KAPAL, 2 KAPAL DSN (V04 & V09), SERTA KEJAR CLOSINGAN TRANSIT V26 DSN TO ADP"
V21,38,2023,PERCA,12/05/2024 15:00,99,8,10,0,99,8,10,0,99,8,10,0,109,8,125,99,8,10,0,0,0,0,0,0,0,0,0,109,8,125,0,0,0,1,SUKSES
V21,1,2024,PERCA,12/05/2024 15:00,0,0,145,15,0,0,145,15,0,0,145,15,145,15,175,0,0,145,15,0,0,0,0,0,0,0,0,145,15,175,0,0,0,1,FINAL LOAD PDG-BKS
V11,31,2023,ADP,01/07/2024 15:00,3,39,40,0,0,0,40,0,0,0,40,0,40,0,40,0,0,40,0,0,0,0,0,0,0,0,0,40,0,40,0,0,0,1,SUKSES
V28,1,2024,ADP,01/07/2024 6:00,63,51,0,0,63,0,0,0,40,0,0,0,40,0,40,40,0,0,0,0,0,0,0,0,0,0,0,40,0,40,0,0,0,1,SUKSES
V10,31,2023,DSN,01/07/2024 16:00,53,11,11,0,53,11,11,0,53,11,11,0,64,11,86,53,11,11,0,0,0,0,0,0,0,0,0,64,11,86,0,0,0,1,SUKSES
V02,32,2023,ADP,01/09/2024 14:00,33,5,0,0,33,0,0,0,33,0,0,0,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,0,0,1,SUKSES
V06,1,2024,ADP,01/09/2024 16:00,144,44,0,0,78,0,0,0,78,0,0,0,78,0,78,62,0,0,0,0,0,0,0,0,0,0,0,62,0,62,16,0,16,0.794871795,TERBAGI DENGAN KEGIATAN TL V29 & V02
